指标名称,"市场价:动力煤(Q5500,山西产):秦皇岛"
2010-01-01,767.00 
2010-01-04,767.00 
2010-01-05,767.00 
2010-01-06,767.00 
2010-01-07,769.00 
2010-01-08,769.00 
2010-01-11,769.00 
2010-01-12,769.00 
2010-01-13,769.00 
2010-01-14,769.00 
2010-01-15,769.00 
2010-01-18,769.00 
2010-01-19,769.00 
2010-01-20,769.00 
2010-01-21,769.00 
2010-01-22,769.00 
2010-01-25,767.00 
2010-01-26,767.00 
2010-01-27,767.00 
2010-01-28,767.00 
2010-01-29,765.00 
2010-02-01,765.00 
2010-02-02,765.00 
2010-02-03,765.00 
2010-02-04,765.00 
2010-02-05,765.00 
2010-02-08,765.00 
2010-02-09,765.00 
2010-02-10,765.00 
2010-02-11,765.00 
2010-02-12,765.00 
2010-02-15,765.00 
2010-02-16,765.00 
2010-02-17,765.00 
2010-02-18,765.00 
2010-02-19,765.00 
2010-02-22,765.00 
2010-02-23,765.00 
2010-02-24,765.00 
2010-02-25,765.00 
2010-02-26,765.00 
2010-03-01,765.00 
2010-03-02,765.00 
2010-03-03,765.00 
2010-03-04,765.00 
2010-03-05,765.00 
2010-03-08,765.00 
2010-03-09,765.00 
2010-03-10,765.00 
2010-03-11,765.00 
2010-03-12,765.00 
2010-03-15,765.00 
2010-03-16,765.00 
2010-03-17,765.00 
2010-03-18,765.00 
2010-03-19,765.00 
2010-03-22,765.00 
2010-03-23,765.00 
2010-03-24,765.00 
2010-03-25,761.00 
2010-03-26,761.00 
2010-03-29,759.00 
2010-03-30,759.00 
2010-03-31,759.00 
2010-04-01,759.00 
2010-04-02,759.00 
2010-04-05,749.00 
2010-04-06,749.00 
2010-04-07,747.00 
2010-04-08,747.00 
2010-04-09,747.00 
2010-04-12,743.00 
2010-04-13,743.00 
2010-04-14,743.00 
2010-04-15,741.00 
2010-04-16,741.00 
2010-04-19,741.00 
2010-04-20,741.00 
2010-04-21,741.00 
2010-04-22,741.00 
2010-04-23,741.00 
2010-04-26,741.00 
2010-04-27,739.00 
2010-04-28,739.00 
2010-04-29,739.00 
2010-04-30,737.00 
2010-05-03,737.00 
2010-05-04,737.00 
2010-05-05,737.00 
2010-05-06,735.00 
2010-05-07,735.00 
2010-05-10,735.00 
2010-05-11,735.00 
2010-05-12,733.00 
2010-05-13,733.00 
2010-05-14,733.00 
2010-05-17,728.00 
2010-05-18,728.00 
2010-05-19,724.00 
2010-05-20,724.00 
2010-05-21,724.00 
2010-05-24,724.00 
2010-05-25,724.00 
2010-05-26,724.00 
2010-05-27,724.00 
2010-05-28,724.00 
2010-05-31,724.00 
2010-06-01,722.00 
2010-06-02,724.00 
2010-06-03,724.00 
2010-06-04,722.00 
2010-06-07,722.00 
2010-06-08,722.00 
2010-06-09,722.00 
2010-06-10,722.00 
2010-06-11,725.00 
2010-06-14,725.00 
2010-06-15,725.00 
2010-06-16,725.00 
2010-06-17,725.00 
2010-06-18,725.00 
2010-06-21,727.00 
2010-06-22,729.00 
2010-06-23,737.00 
2010-06-24,737.00 
2010-06-25,737.00 
2010-06-28,737.00 
2010-06-29,741.00 
2010-06-30,741.00 
2010-07-01,741.00 
2010-07-02,741.00 
2010-07-05,749.00 
2010-07-06,749.00 
2010-07-07,751.00 
2010-07-08,751.00 
2010-07-09,761.00 
2010-07-12,765.00 
2010-07-13,767.00 
2010-07-14,767.00 
2010-07-15,769.00 
2010-07-16,771.00 
2010-07-19,786.00 
2010-07-20,786.00 
2010-07-21,786.00 
2010-07-22,790.00 
2010-07-23,790.00 
2010-07-26,794.00 
2010-07-27,796.00 
2010-07-28,796.00 
2010-07-29,796.00 
2010-07-30,798.00 
2010-08-02,798.00 
2010-08-03,798.00 
2010-08-04,810.00 
2010-08-05,810.00 
2010-08-06,810.00 
2010-08-09,810.00 
2010-08-10,810.00 
2010-08-11,814.00 
2010-08-12,816.00 
2010-08-13,816.00 
2010-08-16,816.00 
2010-08-17,816.00 
2010-08-18,816.00 
2010-08-19,816.00 
2010-08-20,816.00 
2010-08-23,816.00 
2010-08-24,814.00 
2010-08-25,814.00 
2010-08-26,814.00 
2010-08-27,806.00 
2010-08-30,802.00 
2010-08-31,802.00 
2010-09-01,800.00 
2010-09-02,800.00 
2010-09-03,800.00 
2010-09-06,798.00 
2010-09-07,798.00 
2010-09-08,798.00 
2010-09-09,798.00 
2010-09-10,798.00 
2010-09-13,794.00 
2010-09-14,794.00 
2010-09-15,794.00 
2010-09-16,792.00 
2010-09-17,792.00 
2010-09-20,792.00 
2010-09-21,792.00 
2010-09-22,792.00 
2010-09-23,792.00 
2010-09-24,792.00 
2010-09-27,790.00 
2010-09-28,790.00 
2010-09-29,790.00 
2010-09-30,790.00 
2010-10-01,790.00 
2010-10-04,790.00 
2010-10-05,790.00 
2010-10-06,784.00 
2010-10-07,782.00 
2010-10-08,782.00 
2010-10-11,782.00 
2010-10-12,782.00 
2010-10-13,782.00 
2010-10-14,780.00 
2010-10-15,780.00 
2010-10-18,780.00 
2010-10-19,780.00 
2010-10-20,780.00 
2010-10-21,780.00 
2010-10-22,780.00 
2010-10-25,780.00 
2010-10-26,780.00 
2010-10-27,778.00 
2010-10-28,778.00 
2010-10-29,780.00 
2010-11-01,780.00 
2010-11-02,780.00 
2010-11-03,780.00 
2010-11-04,778.00 
2010-11-05,778.00 
2010-11-08,778.00 
2010-11-09,778.00 
2010-11-10,778.00 
2010-11-11,778.00 
2010-11-12,776.00 
2010-11-15,776.00 
2010-11-16,776.00 
2010-11-17,776.00 
2010-11-18,776.00 
2010-11-19,774.00 
2010-11-22,774.00 
2010-11-23,774.00 
2010-11-24,774.00 
2010-11-25,774.00 
2010-11-26,774.00 
2010-11-29,774.00 
2010-11-30,772.00 
2010-12-01,772.00 
2010-12-02,772.00 
2010-12-03,772.00 
2010-12-06,772.00 
2010-12-07,772.00 
2010-12-08,770.00 
2010-12-09,770.00 
2010-12-10,770.00 
2010-12-13,770.00 
2010-12-14,770.00 
2010-12-15,770.00 
2010-12-16,770.00 
2010-12-17,770.00 
2010-12-20,770.00 
2010-12-21,770.00 
2010-12-22,772.00 
2010-12-23,772.00 
2010-12-24,772.00 
2010-12-27,772.00 
2010-12-28,772.00 
2010-12-29,774.00 
2010-12-30,774.00 
2010-12-31,774.00 
2011-01-03,774.00 
2011-01-04,776.00 
2011-01-05,776.00 
2011-01-06,776.00 
2011-01-07,776.00 
2011-01-10,776.00 
2011-01-11,776.00 
2011-01-12,776.00 
2011-01-13,776.00 
2011-01-14,776.00 
2011-01-17,782.00 
2011-01-18,782.00 
2011-01-19,788.00 
2011-01-20,790.00 
2011-01-21,788.00 
2011-01-24,788.00 
2011-01-25,788.00 
2011-01-26,798.00 
2011-01-27,798.00 
2011-01-28,798.00 
2011-01-31,803.00 
2011-02-01,803.00 
2011-02-02,809.00 
2011-02-03,809.00 
2011-02-04,813.00 
2011-02-07,813.00 
2011-02-08,813.00 
2011-02-09,813.00 
2011-02-10,813.00 
2011-02-11,813.00 
2011-02-14,813.00 
2011-02-15,813.00 
2011-02-16,823.00 
2011-02-17,821.00 
2011-02-18,821.00 
2011-02-21,825.00 
2011-02-22,825.00 
2011-02-23,825.00 
2011-02-24,827.00 
2011-02-25,827.00 
2011-02-28,827.00 
2011-03-01,829.00 
2011-03-02,829.00 
2011-03-03,829.00 
2011-03-04,829.00 
2011-03-07,829.00 
2011-03-08,833.00 
2011-03-09,833.00 
2011-03-10,833.00 
2011-03-11,833.00 
2011-03-14,835.00 
2011-03-15,835.00 
2011-03-16,835.00 
2011-03-17,841.00 
2011-03-18,841.00 
2011-03-21,841.00 
2011-03-22,841.00 
2011-03-23,841.00 
2011-03-24,843.00 
2011-03-25,843.00 
2011-03-28,843.00 
2011-03-29,843.00 
2011-03-30,843.00 
2011-03-31,843.00 
2011-04-01,845.00 
2011-04-04,845.00 
2011-04-05,845.00 
2011-04-06,845.00 
2011-04-07,845.00 
2011-04-08,847.00 
2011-04-11,847.00 
2011-04-12,847.00 
2011-04-13,847.00 
2011-04-14,847.00 
2011-04-15,847.00 
2011-04-18,847.00 
2011-04-19,847.00 
2011-04-20,847.00 
2011-04-21,847.00 
2011-04-22,848.00 
2011-04-25,848.00 
2011-04-26,848.00 
2011-04-27,848.00 
2011-04-28,848.00 
2011-04-29,848.00 
2011-05-02,848.00 
2011-05-03,846.00 
2011-05-04,846.00 
2011-05-05,846.00 
2011-05-06,846.00 
2011-05-09,844.00 
2011-05-10,844.00 
2011-05-11,844.00 
2011-05-12,844.00 
2011-05-13,842.00 
2011-05-16,844.00 
2011-05-17,844.00 
2011-05-18,844.00 
2011-05-19,839.00 
2011-05-20,835.00 
2011-05-23,835.00 
2011-05-24,835.00 
2011-05-25,835.00 
2011-05-26,835.00 
2011-05-27,835.00 
2011-05-30,835.00 
2011-05-31,835.00 
2011-06-01,835.00 
2011-06-02,833.00 
2011-06-03,833.00 
2011-06-06,833.00 
